Population group,Year,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Number of agencies,2010 estimated population
TOTAL ALL AGENCIES:,2009,1253786,14668,79306,394107,765705,8783560,2068376,5950908,764276,56477,,
TOTAL ALL AGENCIES:,2010,1181579,14077,76322,355795,735385,8543699,2034268,5801900,707531,52191,14706,291385855
TOTAL ALL AGENCIES:,Percent change,-5.8,-4,-3.8,-9.7,-4,-2.7,-1.6,-2.5,-7.4,-7.6,,
TOTAL CITIES,2009,998731,11318,58265,343360,585788,6875514,1515174,4754923,605417,41914, ,
TOTAL CITIES,2010,943322,10861,56651,310450,565360,6666087,1489019,4615865,561203,39169,10611,197239780
TOTAL CITIES,Percent change,-5.5,-4,-2.8,-9.6,-3.5,-3,-1.7,-2.9,-7.3,-6.5, ,
"GROUP I (250,000 and over)",2009,453671,5808,18889,184802,244172,2240358,521170,1440506,278682,15164, ,
"GROUP I (250,000 and over)",2010,428565,5731,18673,167555,236606,2164781,509242,1392700,262839,14006,75,57354512
"GROUP I (250,000 and over)",Percent change,-5.5,-1.3,-1.1,-9.3,-3.1,-3.4,-2.3,-3.3,-5.7,-7.6, ,
"1,000,000 and over (Group I subset)",2009,193010,2369,6105,85436,99100,842014,178035,555477,108502,4587,,
"1,000,000 and over (Group I subset)",2010,183262,2316,6062,78293,96591,810287,172991,535650,101646,3890,10,25823829
"1,000,000 and over (Group I subset)",Percent change,-5.1,-2.2,-0.7,-8.4,-2.5,-3.8,-2.8,-3.6,-6.3,-15.2, ,
"500,000 to 999,999 (Group I subset)",2009,146001,1903,6501,55448,82149,798436,192180,509521,96735,5405,,
"500,000 to 999,999 (Group I subset)",2010,138348,1813,6658,49429,80448,767672,185280,491214,91178,5291,25,17415371
"500,000 to 999,999 (Group I subset)",Percent change,-5.2,-4.7,2.4,-10.9,-2.1,-3.9,-3.6,-3.6,-5.7,-2.1,, 
"250,000 to 499,999 (Group I subset)",2009,114660,1536,6283,43918,62923,599908,150955,375508,73445,5172,,
"250,000 to 499,999 (Group I subset)",2010,106955,1602,5953,39833,59567,586822,150971,365836,70015,4825,40,14115312
"250,000 to 499,999 (Group I subset)",Percent change,-6.7,4.3,-5.3,-9.3,-5.3,-2.2,,-2.6,-4.7,-6.7,,
"GROUP II (100,000 to 249,999)",2009,165046,1875,10022,56341,96808,1198242,275636,808869,113737,6686,,
"GROUP II (100,000 to 249,999)",2010,156707,1744,9481,51275,94207,1155269,273363,778735,103171,6426,203,30280703
"GROUP II (100,000 to 249,999)",Percent change,-5.1,-7,-5.4,-9,-2.7,-3.6,-0.8,-3.7,-9.3,-3.9,,
"GROUP III (50,000 to 99,999)",2009,131509,1272,8769,42113,79355,1040159,228051,728515,83593,6346,,
"GROUP III (50,000 to 99,999)",2010,123175,1248,8492,37895,75540,1006803,223639,706049,77115,5886,458,31381299
"GROUP III (50,000 to 99,999)",Percent change,-6.3,-1.9,-3.2,-10,-4.8,-3.2,-1.9,-3.1,-7.7,-7.2,,
"GROUP IV (25,000 to 49,999)",2009,95293,934,7198,28129,59032,861663,177532,630329,53802,4881,,
"GROUP IV (25,000 to 49,999)",2010,89599,914,7107,25031,56547,839961,178140,612266,49555,4427,808,27927972
"GROUP IV (25,000 to 49,999)",Percent change,-6,-2.1,-1.3,-11,-4.2,-2.5,0.3,-2.9,-7.9,-9.3,,
"GROUP V (10,000 to 24,999)",2009,82409,748,6906,20435,54320,819189,170827,604783,43579,3985,,
"GROUP V (10,000 to 24,999)",2010,77803,700,6481,18285,52337,796254,166235,590495,39524,3754,1743,27712113
"GROUP V (10,000 to 24,999)",Percent change,-5.6,-6.4,-6.2,-10.5,-3.7,-2.8,-2.7,-2.4,-9.3,-5.8,, 
"GROUP VI (under 10,000)",2009,70803,681,6481,11540,52101,715903,141958,541921,32024,4852,,
"GROUP VI (under 10,000)",2010,67473,524,6417,10409,50123,703019,138400,535620,28999,4670,7324,22583181
"GROUP VI (under 10,000)",Percent change,-4.7,-23.1,-1,-9.8,-3.8,-1.8,-2.5,-1.2,-9.4,-3.8,,
METROPOLITAN COUNTIES,2009,200546,2407,14784,46206,137149,1489728,405436,953993,130299,10893,,
METROPOLITAN COUNTIES,2010,186939,2369,13844,41111,129615,1450064,396185,934912,118967,9608,1710,67489063
METROPOLITAN COUNTIES,Percent change,-6.8,-1.6,-6.4,-11,-5.5,-2.7,-2.3,-2,-8.7,-11.8,,
NONMETROPOLITAN COUNTIES1,2009,54509,943,6257,4541,42768,418318,147766,241992,28560,3670,,
NONMETROPOLITAN COUNTIES1,2010,51318,847,5827,4234,40410,427548,149064,251123,27361,3414,2385,26657012
NONMETROPOLITAN COUNTIES1,Percent change,-5.9,-10.2,-6.9,-6.8,-5.5,2.2,0.9,3.8,-4.2,-7,,
SUBURBAN AREAS2,2009,348688,3684,25803,86425,232776,3018216,702080,2093365,222771,18895,,
SUBURBAN AREAS2,2010,326791,3606,24748,77080,221357,2940843,688618,2049413,202812,16860,7765,123142328
SUBURBAN AREAS2,Percent change,-6.3,-2.1,-4.1,-10.8,-4.9,-2.6,-1.9,-2.1,-9,-10.8,,
