Bias motivation,Incidents,Offenses,Victims1,  Known offenders2
Total,7783,9168,9691,6927
Single-Bias Incidents,7780,9160,9683,6921
Race:,3992,4704,4934,3723
Anti-White,716,812,829,811
Anti-Black,2876,3413,3596,2596
Anti-American Indian/Alaskan Native,54,59,63,61
Anti-Asian/Pacific Islander,137,162,170,140
"Anti-Multiple Races, Group",209,258,276,115
Religion:,1519,1606,1732,632
Anti-Jewish,1013,1055,1145,353
Anti-Catholic,75,75,89,35
Anti-Protestant,56,60,62,34
Anti-Islamic,105,123,130,85
Anti-Other Religion,191,212,222,90
"Anti-Multiple Religions, Group",65,67,70,33
Anti-Atheism/Agnosticism/etc.,14,14,14,2
Sexual Orientation:,1297,1617,1706,1460
Anti-Male Homosexual,776,948,981,921
Anti-Female Homosexual,154,194,198,156
Anti-Homosexual,307,415,466,336
Anti-Heterosexual,33,33,34,25
Anti-Bisexual,27,27,27,22
Ethnicity/National Origin:,894,1148,1226,1034
Anti-Hispanic,561,735,792,711
Anti-Other Ethnicity/National Origin,333,413,434,323
Disability:,78,85,85,72
Anti-Physical,22,28,28,26
Anti-Mental,56,57,57,46
Multiple-Bias Incidents3,3,8,8,6
