State,Total murders1,Total firearms,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands, fists, feet, etc.2",
Alabama,326,223,206,4,12,1,25,62,16, 
Alaska,32,19,15,1,1,2,4,6,3,
Arizona,440,334,270,22,19,23,43,34,29,
Arkansas,176,120,74,3,15,28,26,21,9,
California,2503,1845,1493,83,76,193,288,237,133,
Colorado,170,109,64,4,3,38,32,23,6,
Connecticut,91,47,27,0,2,18,14,20,10,
Delaware,37,23,15,0,0,8,8,2,4,
Georgia,516,370,312,12,13,33,68,73,5,
Hawaii,20,2,0,1,0,1,9,4,5,
Idaho,34,23,10,1,5,7,1,6,4,
Illinois,448,339,328,4,2,5,51,37,21,
Indiana,331,238,171,20,7,40,24,52,17,
Iowa,38,21,13,1,2,5,5,5,7,
Kansas,95,52,20,8,4,20,16,20,7,
Kentucky,177,124,94,8,11,11,15,24,14,
Louisiana,399,309,261,21,14,13,46,34,10,
Maine,19,7,6,1,0,0,4,4,4,
Maryland,551,418,394,4,15,5,68,47,18,
Massachusetts,171,94,48,1,1,44,39,31,7,
Michigan,614,421,195,38,20,168,52,118,23,
Minnesota,115,73,63,7,2,1,16,15,11,
Mississippi,163,113,77,13,8,15,25,15,10,
Missouri,401,281,113,10,18,140,48,63,9,
Montana,17,5,3,1,0,1,5,5,2,
Nebraska,13,5,0,1,0,4,1,3,4,
Nevada,205,124,84,6,5,29,26,41,14,
New Hampshire,16,6,3,0,0,3,5,4,1,
New Jersey,417,276,260,1,3,12,62,41,38,
New Mexico,133,66,48,3,7,8,28,22,17,
New York,868,500,428,10,10,52,188,107,73,
North Carolina,566,353,241,20,34,58,66,96,51,
North Dakota,7,1,0,0,0,1,1,5,0,
Ohio,549,313,198,13,14,88,58,125,53,
Oklahoma,187,129,100,14,9,6,19,22,17,
Oregon,79,48,19,5,2,22,11,17,3,
Pennsylvania,734,528,392,15,16,105,88,97,21,
Rhode Island,34,16,6,1,0,9,5,7,6,
South Carolina,312,217,168,8,14,27,37,36,22,
South Dakota,14,6,3,0,1,2,3,3,2,
Tennessee,428,301,203,8,30,60,48,50,29,
Texas,1406,946,767,48,67,64,205,173,82,
Utah,56,27,11,0,7,9,12,10,7,
Vermont,8,5,1,2,2,0,1,1,1,
Virginia,459,318,149,6,18,145,51,68,22,
Washington,205,126,103,8,11,4,40,19,20,
West Virginia,72,40,18,0,6,16,3,19,10,
Wisconsin,194,132,63,4,11,54,23,27,12,
Wyoming,14,7,6,1,0,0,1,3,3,
Total,14860,10100,7543,442,517,1598,1914,1954,892,
