Bias motivation,Incidents,Offenses,Victims1,  Known offenders2
Total,7722,9080,9652,7330
Single-Bias Incidents,7720,9076,9642,7324
Race:,4000,4737,5020,3957
Anti-White,890,1008,1054,1074
Anti-Black,2640,3136,3332,2437
Anti-American Indian/Alaskan Native,60,72,75,72
Anti-Asian/Pacific Islander,181,230,239,181
"Anti-Multiple Races, Group",229,291,320,193
Religion:,1462,1597,1750,705
Anti-Jewish,967,1027,1144,362
Anti-Catholic,76,81,86,44
Anti-Protestant,59,62,65,35
Anti-Islamic,156,191,208,147
Anti-Other Religion,124,140,147,63
"Anti-Multiple Religions, Group",73,88,92,49
Anti-Atheism/Agnosticism/etc.,7,8,8,5
Sexual Orientation:,1195,1415,1472,1380
Anti-Male Homosexual,747,881,913,914
Anti-Female Homosexual,163,192,202,154
Anti-Homosexual,238,293,307,268
Anti-Heterosexual,26,28,29,26
Anti-Bisexual,21,21,21,18
Ethnicity/National Origin:,984,1233,1305,1209
Anti-Hispanic,576,770,819,802
Anti-Other Ethnicity/National Origin,408,463,486,407
Disability:,79,94,95,73
Anti-Physical,17,20,21,17
Anti-Mental,62,74,74,56
Multiple-Bias Incidents3,2,4,10,6
