Population group,Year,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Number of agencies,2006 estimated population
TOTAL ALL AGENCIES:,2005,1284185,15568,81674,395510,791433,9288388,1973124,6150982,1164282,64733,,
TOTAL ALL AGENCIES:,2006,1308436,15854,80414,422375,789793,9080788,1990468,5971647,1118673,66065,13048,269116153
TOTAL ALL AGENCIES:,Percent change,1.9,1.8,-1.5,6.8,-0.2,-2.2,0.9,-2.9,-3.9,2.1,,
TOTAL CITIES,2005,1024110,12250,60197,346251,605412,7301826,1455331,4910707,935788,47520, ,
TOTAL CITIES,2006,1044375,12483,59501,368886,603505,7109568,1467168,4745380,897020,48580,9342,180561790
TOTAL CITIES,Percent change,2,1.9,-1.2,6.5,-0.3,-2.6,0.8,-3.4,-4.1,2.2, ,
"GROUP I (all cities 250,000 and over)",2005,492570,6587,20327,195365,270291,2522159,517553,1548399,456207,19469, ,
"GROUP I (all cities 250,000 and over)",2006,497476,6875,19677,204495,266429,2450869,520809,1490873,439187,19291,70,53487428
"GROUP I (all cities 250,000 and over)",Percent change,1,4.4,-3.2,4.7,-1.4,-2.8,0.6,-3.7,-3.7,-0.9, ,
"1,000,000 and over (Group I subset)",2005,216601,2891,7093,94309,112308,963317,184430,598587,180300,6727,,
"1,000,000 and over (Group I subset)",2006,217072,3087,6739,97212,110034,933155,180151,579452,173552,6832,10,25080811
"1,000,000 and over (Group I subset)",Percent change,0.2,6.8,-5,3.1,-2,-3.1,-2.3,-3.2,-3.7,1.6, ,
"500,000 to 999,999 (Group I subset)",2005,150566,2088,7128,54614,86736,850158,182862,516025,151271,6313,,
"500,000 to 999,999 (Group I subset)",2006,150827,2107,6935,57042,84743,832624,189200,496716,146708,6387,23,15374394
"500,000 to 999,999 (Group I subset)",Percent change,0.2,0.9,-2.7,4.4,-2.3,-2.1,3.5,-3.7,-3,1.2,, 
"250,000 to 499,999 (Group I subset)",2005,125403,1608,6106,46442,71247,708684,150261,433787,124636,6429,,
"250,000 to 499,999 (Group I subset)",2006,129577,1681,6003,50241,71652,685090,151458,414705,118927,6072,37,13032223
"250,000 to 499,999 (Group I subset)",Percent change,3.3,4.5,-1.7,8.2,0.6,-3.3,0.8,-4.4,-4.6,-5.6,,
"GROUP II (100,000 to 249,999)",2005,170215,2192,10429,57147,100447,1278174,259441,846656,172077,7909,,
"GROUP II (100,000 to 249,999)",2006,174186,2157,10342,62416,99271,1235046,261270,811664,162112,7874,186,27908022
"GROUP II (100,000 to 249,999)",Percent change,2.3,-1.6,-0.8,9.2,-1.2,-3.4,0.7,-4.1,-5.8,-0.4,,
"GROUP III (50,000 to 99,999)",2005,130009,1409,9205,40197,79198,1085500,222861,739162,123477,6464,,
"GROUP III (50,000 to 99,999)",2006,134619,1335,9318,43378,80588,1060259,224139,716467,119653,7152,417,28595956
"GROUP III (50,000 to 99,999)",Percent change,3.5,-5.3,1.2,7.9,1.8,-2.3,0.6,-3.1,-3.1,10.6,,
"GROUP IV (25,000 to 49,999)",2005,92546,904,7821,25586,58235,894445,172036,641104,81305,5270,,
"GROUP IV (25,000 to 49,999)",2006,96065,903,7629,28251,59282,874003,174604,621757,77642,5420,725,25030551
"GROUP IV (25,000 to 49,999)",Percent change,3.8,-0.1,-2.5,10.4,1.8,-2.3,1.5,-3,-4.5,2.8,,
"GROUP V (10,000 to 24,999)",2005,75143,664,6790,17857,49832,816256,154388,600628,61240,4384,,
"GROUP V (10,000 to 24,999)",2006,77279,716,6865,19403,50295,798600,156728,582994,58878,4651,1594,25246097
"GROUP V (10,000 to 24,999)",Percent change,2.8,7.8,1.1,8.7,0.9,-2.2,1.5,-2.9,-3.9,6.1,, 
"GROUP VI (under 10,000)",2005,63627,494,5625,10099,47409,705292,129052,534758,41482,4024,,
"GROUP VI (under 10,000)",2006,64750,497,5670,10943,47640,690791,129618,521625,39548,4192,6350,20293736
"GROUP VI (under 10,000)",Percent change,1.8,0.6,0.8,8.4,0.5,-2.1,0.4,-2.5,-4.7,4.2,,
METROPOLITAN COUNTIES,2005,207758,2426,15444,45372,144516,1561909,381613,986909,193387,13217,,
METROPOLITAN COUNTIES,2006,213839,2575,15201,49490,146573,1556482,390885,977608,187989,13573,1549,63500951
METROPOLITAN COUNTIES,Percent change,2.9,6.1,-1.6,9.1,1.4,-0.3,2.4,-0.9,-2.8,2.7,,
NONMETROPOLITAN COUNTIES1,2005,52317,892,6033,3887,41505,424653,136180,253366,35107,3996,,
NONMETROPOLITAN COUNTIES1,2006,50222,796,5712,3999,39715,414738,132415,248659,33664,3912,2157,25053412
NONMETROPOLITAN COUNTIES1,Percent change,-4,-10.8,-5.3,2.9,-4.3,-2.3,-2.8,-1.9,-4.1,-2.1,,
SUBURBAN AREA2,2005,348523,3635,26915,81744,236229,3082730,660245,2093579,328906,21744,,
SUBURBAN AREA2,2006,359075,3852,26682,89646,238895,3058006,675520,2065196,317290,22621,6908,112961096
SUBURBAN AREA2,Percent change,3,6,-0.9,9.7,1.1,-0.8,2.3,-1.4,-3.5,4,,
