Population group,Year,Violent crime,Murder and nonnegligent manslaughter,Rape revised,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Number of agencies,2014 estimated population
TOTAL ALL AGENCIES:,2013,1112265,13741,55598,15461,334513,692952,8183021,1820797,5690372,671852,44713,,
TOTAL ALL AGENCIES:,2014,1094854,13472,55355,16372,311936,697719,7738735,1611882,5470741,656112,42934,15324,303380767
TOTAL ALL AGENCIES:,Percent change,-1.6,-2,-0.4,5.9,-6.7,0.7,-5.4,-11.5,-3.9,-2.3,-4,,
TOTAL CITIES,2013,889721,10517,39154,11484,293496,535070,6439938,1329585,4571822,538531,33757, ,
TOTAL CITIES,2014,874127,10446,39093,12343,272517,539728,6107458,1176693,4404964,525801,32617,11079,204409381
TOTAL CITIES,Percent change,-1.8,-0.7,-0.2,7.5,-7.1,0.9,-5.2,-11.5,-3.6,-2.4,-3.4, ,
"GROUP I (250,000 and over)",2013,411799,5320,10536,3374,162094,230475,2108022,448942,1413360,245720,12512, ,
"GROUP I (250,000 and over)",2014,406528,5339,10643,3534,150004,237008,1993393,398502,1353125,241766,11863,78,57577457
"GROUP I (250,000 and over)",Percent change,-1.3,0.4,1,4.7,-7.5,2.8,-5.4,-11.2,-4.3,-1.6,-5.2, ,
"1,000,000 and over (Group I subset)",2013,172827,1970,1279,586,72584,96408,787221,156776,535540,94905,4176,,
"1,000,000 and over (Group I subset)",2014,168884,2013,1207,677,67350,97637,737241,139623,504789,92829,3782,11,27023807
"1,000,000 and over (Group I subset)",Percent change,-2.3,2.2,-5.6,15.5,-7.2,1.3,-6.3,-10.9,-5.7,-2.2,-9.4, ,
"500,000 to 999,999 (Group I subset)",2013,127964,1701,4801,1533,46136,73793,700267,150979,473309,75979,4169,,
"500,000 to 999,999 (Group I subset)",2014,129281,1693,4802,1452,43158,78176,672755,134578,460179,77998,3735,22,15200484
"500,000 to 999,999 (Group I subset)",Percent change,1,-0.5,0,-5.3,-6.5,5.9,-3.9,-10.9,-2.8,2.7,-10.4,, 
"250,000 to 499,999 (Group I subset)",2013,111008,1649,4456,1255,43374,60274,620534,141187,404511,74836,4167,,
"250,000 to 499,999 (Group I subset)",2014,108363,1633,4634,1405,39496,61195,583397,124301,388157,70939,4346,45,15353166
"250,000 to 499,999 (Group I subset)",Percent change,-2.4,-1,4,12,-8.9,1.5,-6,-12,-4,-5.2,4.3,,
"GROUP II (100,000 to 249,999)",2013,143066,1787,6510,1933,47792,85044,1108364,242440,761012,104912,5401,,
"GROUP II (100,000 to 249,999)",2014,141912,1804,6700,2218,44959,86231,1062425,217070,743103,102252,5312,215,31966637
"GROUP II (100,000 to 249,999)",Percent change,-0.8,1,2.9,14.7,-5.9,1.4,-4.1,-10.5,-2.4,-2.5,-1.6,,
"GROUP III (50,000 to 99,999)",2013,111658,1171,6168,1879,33372,69068,953036,196372,682019,74645,4573,,
"GROUP III (50,000 to 99,999)",2014,108010,1098,6034,2018,30816,68044,902740,170344,660987,71409,4333,478,33076321
"GROUP III (50,000 to 99,999)",Percent change,-3.3,-6.2,-2.2,7.4,-7.7,-1.5,-5.3,-13.3,-3.1,-4.3,-5.2,,
"GROUP IV (25,000 to 49,999)",2013,82834,892,5483,1539,23015,51905,806998,159644,601441,45913,3691,,
"GROUP IV (25,000 to 49,999)",2014,79602,908,5287,1551,21223,50633,764465,139921,580206,44338,3698,857,29556524
"GROUP IV (25,000 to 49,999)",Percent change,-3.9,1.8,-3.6,0.8,-7.8,-2.5,-5.3,-12.4,-3.5,-3.4,0.2,,
"GROUP V (10,000 to 24,999)",2013,75933,739,5556,1438,17173,51027,784210,154768,591103,38339,3252,,
"GROUP V (10,000 to 24,999)",2014,74344,724,5422,1520,16007,50671,743189,137120,568854,37215,3241,1817,28982145
"GROUP V (10,000 to 24,999)",Percent change,-2.1,-2,-2.4,5.7,-6.8,-0.7,-5.2,-11.4,-3.8,-2.9,-0.3,, 
"GROUP VI (under 10,000)",2013,64431,608,4901,1321,10050,47551,679308,127419,522887,29002,4328,,
"GROUP VI (under 10,000)",2014,63731,573,5007,1502,9508,47141,641246,113736,498689,28821,4170,7634,23250297
"GROUP VI (under 10,000)",Percent change,-1.1,-5.8,2.2,13.7,-5.4,-0.9,-5.6,-10.7,-4.6,-0.6,-3.7,,
METROPOLITAN COUNTIES,2013,180609,2385,11392,3180,38333,125319,1392396,372334,909083,110979,8288,,
METROPOLITAN COUNTIES,2014,179197,2321,11200,3281,36816,125579,1311113,330297,872040,108776,7649,1872,74401790
METROPOLITAN COUNTIES,Percent change,-0.8,-2.7,-1.7,3.2,-4,0.2,-5.8,-11.3,-4.1,-2,-7.7,,
NONMETROPOLITAN COUNTIES3,2013,41935,839,5052,797,2684,32563,350687,118878,209467,22342,2668,,
NONMETROPOLITAN COUNTIES3,2014,41530,705,5062,748,2603,32412,320164,104892,193737,21535,2668,2373,24569596
NONMETROPOLITAN COUNTIES3,Percent change,-1,-16,0.2,-6.1,-3,-0.5,-8.7,-11.8,-7.5,-3.6,0,,
SUBURBAN AREAS4,2013,319153,3716,22555,6281,73272,213329,2868918,644626,2033261,191031,14791,,
SUBURBAN AREAS4,2014,313838,3637,22015,6614,69062,212510,2703237,569218,1947792,186227,13868,8393,133928066
SUBURBAN AREAS4,Percent change,-1.7,-2.1,-2.4,5.3,-5.7,-0.4,-5.8,-11.7,-4.2,-2.5,-6.2,,
