State,Total murders1,Total firearms,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands, fists, feet, etc.2",
Alabama,338,262,241,1,20,0,24,35,17, 
Alaska,27,13,9,1,3,0,1,6,7,
Arizona,405,290,243,15,16,16,45,45,25,
Arkansas,157,110,65,1,9,35,17,25,5,
California,"2,142","1,487","1,156",48,64,219,294,241,120,
Colorado,151,86,50,3,2,31,31,17,17,
Connecticut,112,71,46,1,0,24,27,11,3,
Delaware,57,44,29,0,2,13,6,5,2,
Georgia,614,435,371,20,13,31,73,98,8,
Hawaii,25,11,7,1,2,1,8,0,6,
Idaho,23,14,9,2,3,0,0,3,6,
Illinois3,530,421,412,3,1,5,48,50,11,
Indiana,306,220,134,16,4,66,28,39,19,
Iowa,74,25,13,2,4,6,16,20,13,
Kansas,110,61,41,2,3,15,15,17,17,
Kentucky,182,121,78,8,13,22,25,27,9,
Louisiana,390,309,241,20,12,36,33,34,14,
Maine,31,11,6,2,0,3,10,4,6,
Maryland,493,353,328,4,13,8,61,51,28,
Massachusetts,164,89,59,2,0,28,49,23,3,
Michigan,536,375,165,16,8,186,40,94,27,
Minnesota,106,54,51,1,2,0,22,22,8,
Mississippi,184,142,115,4,11,12,15,20,7,
Missouri,455,349,172,25,15,137,41,53,12,
Montana,23,11,5,3,1,2,4,4,4,
Nebraska,22,9,1,1,2,5,4,8,1,
Nevada,163,93,60,1,6,26,27,35,8,
New Hampshire,12,2,1,1,0,0,3,7,0,
New Jersey,376,236,202,1,3,30,67,39,34,
New Mexico,134,88,70,4,7,7,22,13,11,
New York,835,475,107,12,20,336,184,147,29,
North Carolina,586,362,261,22,25,54,54,102,68,
North Dakota,3,0,0,0,0,0,2,0,1,
Ohio,460,293,175,5,5,108,38,90,39,
Oklahoma,212,128,106,6,10,6,33,28,23,
Oregon,82,47,24,2,2,19,16,18,1,
Pennsylvania,700,521,398,15,16,92,66,86,27,
Rhode Island,29,18,9,0,0,9,6,4,1,
South Carolina,304,206,125,9,18,54,31,43,24,
South Dakota,22,13,4,0,2,7,1,7,1,
Tennessee,408,240,170,11,19,40,53,91,24,
Texas,"1,372",895,706,58,52,79,230,140,107,
Utah,41,19,16,0,0,3,8,8,6,
Vermont,17,8,4,3,0,1,0,6,3,
Virginia,366,240,121,12,13,94,54,61,11,
Washington,190,110,82,2,10,16,32,25,23,
West Virginia,55,33,14,2,10,7,5,13,4,
Wisconsin,146,80,51,7,3,19,25,22,19,
Wyoming,10,4,2,0,0,2,3,1,2,
Total ,14180,9484,6755,375,444,1910,1897,1938,861,
,,,,,,,,,,
,,,,,,,,,,
, ,,,,,,,,,
,, ,,,,, ,, ,
, ,,,,,,,,,
,, ,, ,,,,,,
