State,Total murders1,Total firearms,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands, fists, feet, etc.2",
Alabama,318,229,196,1,32,0,29,40,20, 
Alaska,22,13,1,0,0,12,4,3,2,
Arizona,328,197,164,10,10,13,61,53,17,
Arkansas,171,107,54,5,5,43,21,38,5,
California,"1,972","1,360","1,022",45,49,244,291,214,107,
Colorado,167,94,55,6,6,27,23,30,20,
Connecticut,107,70,51,0,2,17,17,14,6,
Delaware,41,31,20,2,0,9,6,1,3,
District of Columbia,144,113,80,1,1,31,17,9,5,
Georgia,543,378,323,17,19,19,56,97,12,
Hawaii,21,8,4,2,1,1,3,4,6,
Idaho,22,5,3,0,0,2,3,9,5,
Illinois,479,386,360,5,8,13,39,48,6,
Indiana,293,209,136,8,14,51,34,40,10,
Iowa,34,11,3,1,3,4,8,6,9,
Kansas,118,85,38,9,0,38,14,11,8,
Kentucky,170,112,90,5,6,11,22,27,9,
Louisiana,486,402,330,20,11,41,32,37,15,
Maine,26,11,4,0,0,7,6,6,3,
Maryland,438,305,297,2,6,0,58,57,18,
Massachusetts,169,93,47,2,1,43,40,29,7,
Michigan,625,437,239,25,19,154,47,112,29,
Minnesota,72,38,35,1,1,1,14,8,12,
Mississippi,151,105,83,9,6,7,22,15,9,
Missouri,381,276,170,8,11,87,40,50,15,
Montana,28,19,9,2,5,3,4,2,3,
Nebraska,40,23,22,1,0,0,8,4,5,
Nevada,156,91,66,1,3,21,25,27,13,
New Hampshire,10,4,1,0,0,3,3,2,1,
New Jersey,319,220,189,3,6,22,44,36,19,
New Mexico,144,78,54,2,3,19,24,29,13,
New York,779,481,117,8,13,343,166,109,23,
North Carolina,480,335,243,17,20,55,49,64,32,
North Dakota,9,3,1,1,1,0,0,3,3,
Ohio,502,311,193,2,9,107,52,95,44,
Oklahoma,225,125,104,10,4,7,45,25,30,
Oregon,83,41,9,2,10,20,21,19,2,
Pennsylvania,658,468,373,13,11,71,66,100,24,
Rhode Island,31,18,0,0,0,18,6,5,2,
South Carolina,286,197,115,4,12,66,28,41,20,
South Dakota,11,4,0,1,2,1,5,1,1,
Tennessee,461,295,200,13,22,60,45,92,29,
Texas,"1,325",862,661,55,58,88,197,153,113,
Utah,37,25,15,0,5,5,8,2,2,
Vermont,7,0,0,0,0,0,4,1,2,
Virginia,347,229,108,8,7,106,41,55,22,
Washington,169,101,75,16,4,6,35,14,19,
West Virginia,76,38,20,2,3,13,19,13,6,
Wisconsin,144,95,65,3,9,18,22,13,14,
Wyoming,11,8,7,0,0,1,1,1,1,
Total,13636,9146,6452,348,418,1928,1825,1864,801,
,,,,,,,,,,
,,,,,,,,,,
,, ,,,,, ,, ,
, ,,,,,,,,,
,, ,, ,,,,,,
