Bias motivation,Incidents,Offenses,Victims1,  Known offenders2
Total,"6,604","7,789","8,336","6,225"
Single-Bias Incidents,"6,598","7,775","8,322","6,219"
Race:,"3,199","3,816","4,057","3,241"
Anti-White,545,652,668,753
Anti-Black,"2,284","2,724","2,902","2,160"
Anti-American Indian/Alaskan Native,65,84,87,88
Anti-Asian/Pacific Islander,126,147,149,108
"Anti-Multiple Races, Group",179,209,251,132
Religion:,"1,303","1,376","1,575",586
Anti-Jewish,931,964,"1,132",353
Anti-Catholic,51,55,59,25
Anti-Protestant,38,40,42,17
Anti-Islamic,107,128,132,95
Anti-Other Religion,109,119,131,51
"Anti-Multiple Religions, Group",57,60,68,38
Anti-Atheism/Agnosticism/etc.,10,10,11,7
Sexual Orientation:,"1,223","1,436","1,482","1,394"
Anti-Male Homosexual,682,798,817,817
Anti-Female Homosexual,185,216,227,197
Anti-Homosexual,312,376,391,349
Anti-Heterosexual,21,21,21,14
Anti-Bisexual,23,25,26,17
Ethnicity/National Origin:,777,"1,050","1,109",934
Anti-Hispanic,483,654,692,649
Anti-Other Ethnicity/National Origin,294,396,417,285
Disability:,96,97,99,64
Anti-Physical,25,25,25,25
Anti-Mental,71,72,74,39
Multiple-Bias Incidents3,6,14,14,6
