Population group,Year,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Number of agencies,2009 estimated population
TOTAL ALL AGENCIES:,2008,1323108,15672,80991,430978,795467,9209011,2099688,6186018,923305,63253,,
TOTAL ALL AGENCIES:,2009,1251617,14558,78560,396500,761999,8777837,2068694,5944792,764351,56445,14443,288077853
TOTAL ALL AGENCIES:,Percent change,-5.4,-7.1,-3,-8,-4.2,-4.7,-1.5,-3.9,-17.2,-10.8,,
TOTAL CITIES,2008,1055968,12187,60005,375436,608340,7176343,1542174,4902538,731631,47006, ,
TOTAL CITIES,2009,997762,11301,58113,345402,582946,6866460,1515306,4745702,605452,42076,10396,194716216
TOTAL CITIES,Percent change,-5.5,-7.3,-3.2,-8,-4.2,-4.3,-1.7,-3.2,-17.2,-10.5, ,
"GROUP I (250,000 and over)",2008,490691,6504,19283,204103,260801,2404343,544134,1511505,348704,17729, ,
"GROUP I (250,000 and over)",2009,458386,5868,19131,186587,246800,2271199,529599,1459242,282358,15836,76,57278467
"GROUP I (250,000 and over)",Percent change,-6.6,-9.8,-0.8,-8.6,-5.4,-5.5,-2.7,-3.5,-19,-10.7, ,
"1,000,000 and over (Group I subset)",2008,205683,2670,6136,93467,103410,904739,186911,582015,135813,5963,,
"1,000,000 and over (Group I subset)",2009,193010,2369,6105,85436,99100,842014,178035,555477,108502,5197,10,25873144
"1,000,000 and over (Group I subset)",Percent change,-6.2,-11.3,-0.5,-8.6,-4.2,-6.9,-4.7,-4.6,-20.1,-12.8, ,
"500,000 to 999,999 (Group I subset)",2008,162951,2169,6763,63608,90411,865023,203807,538607,122609,5903,,
"500,000 to 999,999 (Group I subset)",2009,150834,1960,6698,57457,84719,823712,200426,524104,99182,5585,25,17183941
"500,000 to 999,999 (Group I subset)",Percent change,-7.4,-9.6,-1,-9.7,-6.3,-4.8,-1.7,-2.7,-19.1,-5.4,, 
"250,000 to 499,999 (Group I subset)",2008,122057,1665,6384,47028,66980,634581,153416,390883,90282,5863,,
"250,000 to 499,999 (Group I subset)",2009,114542,1539,6328,43694,62981,605473,151138,379661,74674,5054,41,14221382
"250,000 to 499,999 (Group I subset)",Percent change,-6.2,-7.6,-0.9,-7.1,-6,-4.6,-1.5,-2.9,-17.3,-13.8,,
"GROUP II (100,000 to 249,999)",2008,176518,2082,10452,64473,99511,1245502,279634,833386,132482,7565,,
"GROUP II (100,000 to 249,999)",2009,166749,1948,10011,57866,96924,1202260,279040,811063,112157,6783,200,29689527
"GROUP II (100,000 to 249,999)",Percent change,-5.5,-6.4,-4.2,-10.2,-2.6,-3.5,-0.2,-2.7,-15.3,-10.3,,
"GROUP III (50,000 to 99,999)",2008,135570,1368,9125,43996,81081,1077528,226642,749184,101702,7079,,
"GROUP III (50,000 to 99,999)",2009,129743,1268,8741,41567,78167,1030519,224010,722062,84447,6432,455,31091344
"GROUP III (50,000 to 99,999)",Percent change,-4.3,-7.3,-4.2,-5.5,-3.6,-4.4,-1.2,-3.6,-17,-9.1,,
"GROUP IV (25,000 to 49,999)",2008,96387,875,7489,28477,59546,868884,176194,630926,61764,5122,,
"GROUP IV (25,000 to 49,999)",2009,91620,891,7099,27269,56361,843186,172545,618552,52089,4747,790,27122788
"GROUP IV (25,000 to 49,999)",Percent change,-4.9,1.8,-5.2,-4.2,-5.3,-3,-2.1,-2,-15.7,-7.3,,
"GROUP V (10,000 to 24,999)",2008,84923,732,7060,21722,55409,845403,172481,622213,50709,4526,,
"GROUP V (10,000 to 24,999)",2009,82550,725,6886,20236,54703,811192,170241,597795,43156,3903,1710,27080564
"GROUP V (10,000 to 24,999)",Percent change,-2.8,-1,-2.5,-6.8,-1.3,-4,-1.3,-3.9,-14.9,-13.8,, 
"GROUP VI (under 10,000)",2008,71879,626,6596,12665,51992,734683,143089,555324,36270,4985,,
"GROUP VI (under 10,000)",2009,68714,601,6245,11877,49991,708104,139871,536988,31245,4375,7165,22453526
"GROUP VI (under 10,000)",Percent change,-4.4,-4,-5.3,-6.2,-3.8,-3.6,-2.2,-3.3,-13.9,-12.2,,
METROPOLITAN COUNTIES,2008,213362,2621,15370,51048,144323,1596775,415343,1021937,159495,12670,,
METROPOLITAN COUNTIES,2009,201553,2396,14637,46709,137811,1502971,410086,961317,131568,11016,1675,66809943
METROPOLITAN COUNTIES,Percent change,-5.5,-8.6,-4.8,-8.5,-4.5,-5.9,-1.3,-5.9,-17.5,-13.1,,
NONMETROPOLITAN COUNTIES1,2008,53778,864,5616,4494,42804,435893,142171,261543,32179,3577,,
NONMETROPOLITAN COUNTIES1,2009,52302,861,5810,4389,41242,408406,143302,237773,27331,3353,2372,26551694
NONMETROPOLITAN COUNTIES1,Percent change,-2.7,-0.3,3.5,-2.3,-3.6,-6.3,0.8,-9.1,-15.1,-6.3,,
SUBURBAN AREAS2,2008,364051,3913,27071,92953,240114,3156315,715548,2174851,265916,21263,,
SUBURBAN AREAS2,2009,346156,3613,25573,86325,230645,3004289,701615,2080768,221906,18795,7624,120999345
SUBURBAN AREAS2,Percent change,-4.9,-7.7,-5.5,-7.1,-3.9,-4.8,-1.9,-4.3,-16.6,-11.6,,
