Population group,Year,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Number of agencies,2012 estimated population
TOTAL ALL AGENCIES:,2011,1144896,13993,76332,341608,712963,8497732,2045019,5769048,683665,51488,,
TOTAL ALL AGENCIES:,2012,1153016,14168,76233,341680,720935,8412497,1965533,5757766,689198,51500,15091,296448440
TOTAL ALL AGENCIES:,Percent change,0.7,1.3,-0.1,,1.1,-1,-3.9,-0.2,0.8,,,
TOTAL CITIES,2011,917848,10866,57117,299629,550236,6612306,1492393,4575350,544563,38921, ,
TOTAL CITIES,2012,927974,11123,57086,300458,559307,6585512,1437602,4597894,550016,39472,10999,200116329
TOTAL CITIES,Percent change,1.1,2.4,-0.1,0.3,1.6,-0.4,-3.7,0.5,1,1.4, ,
"GROUP I (all cities 250,000 and over)",2011,416837,5591,18364,162554,230328,2113634,505616,1353301,254717,13686, ,
"GROUP I (all cities 250,000 and over)",2012,427038,5830,18716,164631,237861,2105693,480366,1370050,255277,13150,75,56306634
"GROUP I (all cities 250,000 and over)",Percent change,2.4,4.3,1.9,1.3,3.3,-0.4,-5,1.2,0.2,-3.9, ,
"1,000,000 and over (Group I subset)",2011,176602,2223,5947,74249,94183,791320,172588,520049,98683,3604,,
"1,000,000 and over (Group I subset)",2012,179159,2255,6134,74843,95927,783251,166197,523397,93657,3547,10,25494200
"1,000,000 and over (Group I subset)",Percent change,1.4,1.4,3.1,0.8,1.9,-1,-3.7,0.6,-5.1,-1.6, ,
"500,000 to 999,999 (Group I subset)",2011,131848,1719,6407,46787,76935,721725,177004,460101,84620,4940,,
"500,000 to 999,999 (Group I subset)",2012,137075,1886,6493,47226,81470,720829,169023,465025,86781,4520,24,16540300
"500,000 to 999,999 (Group I subset)",Percent change,4,9.7,1.3,0.9,5.9,-0.1,-4.5,1.1,2.6,-8.5,, 
"250,000 to 499,999 (Group I subset)",2011,108387,1649,6010,41518,59210,600589,156024,373151,71414,5142,,
"250,000 to 499,999 (Group I subset)",2012,110804,1689,6089,42562,60464,601613,145146,381628,74839,5083,41,14272134
"250,000 to 499,999 (Group I subset)",Percent change,2.2,2.4,1.3,2.5,2.1,0.2,-7,2.3,4.8,-1.1,,
"GROUP II (100,000 to 249,999)",2011,155680,1871,9872,50811,93126,1184388,283947,797286,103155,6546,,
"GROUP II (100,000 to 249,999)",2012,158138,1875,9752,51430,95081,1181869,274186,800207,107476,6733,215,32127222
"GROUP II (100,000 to 249,999)",Percent change,1.6,0.2,-1.2,1.2,2.1,-0.2,-3.4,0.4,4.2,2.9,,
"GROUP III (50,000 to 99,999)",2011,112153,1079,8023,34515,68536,955972,213573,670821,71578,5070,,
"GROUP III (50,000 to 99,999)",2012,112484,1100,8036,33776,69572,952709,207854,671567,73288,5247,454,31358005
"GROUP III (50,000 to 99,999)",Percent change,0.3,1.9,0.2,-2.1,1.5,-0.3,-2.7,0.1,2.4,3.5,,
"GROUP IV (25,000 to 49,999)",2011,87164,872,7732,23530,55030,839653,177620,614572,47461,4122,,
"GROUP IV (25,000 to 49,999)",2012,85801,936,7484,23041,54340,832839,171529,614582,46728,4538,828,28600336
"GROUP IV (25,000 to 49,999)",Percent change,-1.6,7.3,-3.2,-2.1,-1.3,-0.8,-3.4,,-1.5,10.1,,
"GROUP V (10,000 to 24,999)",2011,77877,787,6874,17543,52673,801201,169020,593921,38260,3585,,
"GROUP V (10,000 to 24,999)",2012,76658,766,6834,16926,52132,799108,164116,597089,37903,3574,1786,28412426
"GROUP V (10,000 to 24,999)",Percent change,-1.6,-2.7,-0.6,-3.5,-1,-0.3,-2.9,0.5,-0.9,-0.3,, 
"GROUP VI (under 10,000)",2011,68137,666,6252,10676,50543,717458,142617,545449,29392,5912,,
"GROUP VI (under 10,000)",2012,67855,616,6264,10654,50321,713294,139551,544399,29344,6230,7641,23311706
"GROUP VI (under 10,000)",Percent change,-0.4,-7.5,0.2,-0.2,-0.4,-0.6,-2.1,-0.2,-0.2,5.4,,
METROPOLITAN COUNTIES,2011,181571,2318,14069,38772,126412,1486329,414593,956707,115029,9508,,
METROPOLITAN COUNTIES,2012,180410,2198,13911,38030,126271,1440722,395115,929984,115623,8953,1778,71061093
METROPOLITAN COUNTIES,Percent change,-0.6,-5.2,-1.1,-1.9,-0.1,-3.1,-4.7,-2.8,0.5,-5.8,,
NONMETROPOLITAN COUNTIES1,2011,45477,809,5146,3207,36315,399097,138033,236991,24073,3059,,
NONMETROPOLITAN COUNTIES1,2012,44632,847,5236,3192,35357,386263,132816,229888,23559,3075,2314,25271018
NONMETROPOLITAN COUNTIES1,Percent change,-1.9,4.7,1.7,-0.5,-2.6,-3.2,-3.8,-3,-2.1,0.5,,
SUBURBAN AREAS2,2011,327061,3677,26272,75042,222070,3042697,723602,2121293,197802,17076,,
SUBURBAN AREAS2,2012,323450,3590,25963,73694,220203,2988958,695245,2096435,197278,16669,8267,129683417
SUBURBAN AREAS2,Percent change,-1.1,-2.4,-1.2,-1.8,-0.8,-1.8,-3.9,-1.2,-0.3,-2.4,,
