State,"Total
murders1","Total
firearms",Handguns,Rifles,Shotguns,"Firearms
(type
unknown)","Knives or
cutting
instruments","Other
weapons","Hands, fists,
feet, etc.2"
Alabama,3,3,1,0,1,1,0,0,0
Alaska,57,39,12,2,1,24,7,8,3
Arizona,278,171,128,4,3,36,42,55,10
Arkansas,164,110,51,10,4,45,18,30,6
California,"1,861","1,275",855,34,33,353,263,233,90
Colorado,176,115,65,12,6,32,25,19,17
Connecticut,107,73,29,0,2,42,16,9,9
Delaware,63,52,26,0,0,26,6,3,2
District of Columbia,162,121,65,1,0,55,28,8,5
Georgia,565,464,394,16,10,44,38,60,3
Hawaii,19,4,1,1,0,2,6,2,7
Idaho,30,24,17,4,0,3,3,3,0
Illinois,497,440,431,2,1,6,29,25,3
Indiana,272,209,147,9,5,48,22,29,12
Iowa,72,49,31,0,2,16,10,5,8
Kansas,125,91,51,4,4,32,9,14,11
Kentucky,209,141,91,1,9,40,30,26,12
Louisiana,474,379,207,7,9,156,46,43,6
Maine,23,16,15,0,0,1,3,1,3
Maryland,372,279,266,3,3,7,44,33,16
Massachusetts,126,81,33,1,0,47,27,11,7
Michigan,571,389,148,10,10,221,52,103,27
Minnesota,133,79,47,6,9,17,21,23,10
Mississippi,159,126,102,3,5,16,11,14,8
Missouri,499,418,233,12,11,162,26,40,15
Montana,36,18,13,0,0,5,8,3,7
Nebraska,61,43,41,1,1,0,9,8,1
Nevada,177,113,17,1,1,94,25,30,9
New Hampshire,14,8,4,0,0,4,6,0,0
New Jersey,353,255,200,3,0,52,38,41,19
New Mexico,94,56,14,1,2,39,18,19,1
New York,611,383,331,1,5,46,104,104,20
North Carolina,506,353,235,10,21,87,41,77,35
North Dakota,17,9,5,0,0,4,3,1,4
Ohio,480,316,184,12,7,113,39,103,22
Oklahoma,233,149,113,8,9,19,33,32,19
Oregon,71,34,17,1,5,11,12,22,3
Pennsylvania,651,497,386,10,11,90,65,67,22
Rhode Island,27,10,3,0,1,6,10,6,1
South Carolina,394,312,201,7,10,94,34,34,14
South Dakota,27,12,5,1,5,1,8,2,5
Tennessee,402,297,204,13,7,73,40,51,14
Texas,"1,276",906,610,19,36,241,146,135,89
Utah,54,34,26,2,0,6,5,6,9
Vermont,10,8,2,4,0,2,0,1,1
Virginia,383,275,148,6,7,114,51,43,14
Washington,209,141,84,3,5,49,18,36,14
West Virginia,57,30,19,1,1,9,6,17,4
Wisconsin,238,170,122,5,4,39,37,25,6
Wyoming,16,10,4,0,3,3,2,3,1
Guam,6,3,1,0,0,2,1,2,0
U.S. Virgin Islands,35,26,12,1,0,13,3,6,0
Total,13455,9616,6447,252,269,2648,1544,1671,624
