Bias motivation,Incidents,Offenses,Victims1,"Known
offenders2"
Total,5796,6718,7164,5331
Single-Bias Incidents,5790,6705,7151,5322
Race:,2797,3297,3467,2822
Anti-White,657,739,763,756
Anti-Black,1805,2180,2295,1771
Anti-American Indian/Alaskan Native,101,109,115,92
Anti-Asian/Pacific Islander,121,134,143,119
"Anti-Multiple Races, Group",113,135,151,84
Religion:,1099,1166,1340,484
Anti-Jewish,674,696,836,232
Anti-Catholic,70,79,86,27
Anti-Protestant,33,34,35,24
Anti-Islamic,130,149,155,110
Anti-Other Religion,92,107,115,36
"Anti-Multiple Religions, Group",88,89,101,44
Anti-Atheism/Agnosticism/etc.,12,12,12,11
Sexual Orientation:,1135,1318,1376,1281
Anti-Male Homosexual,605,720,741,754
Anti-Female Homosexual,146,162,175,116
Anti-Homosexual,321,369,393,358
Anti-Heterosexual,24,26,26,20
Anti-Bisexual,39,41,41,33
Ethnicity/National Origin:,667,822,866,639
Anti-Hispanic,384,488,514,393
Anti-Other Ethnicity/National Origin,283,334,352,246
Disability:,92,102,102,96
Anti-Physical,18,20,20,16
Anti-Mental,74,82,82,80
Multiple-Bias Incidents3,6,13,13,9
