State,"Total
murders1","Total
firearms",Handguns,Rifles,Shotguns,"Firearms
(type
unknown)","Knives or
cutting
instruments","Other
weapons","Hands, fists,
feet, etc.2"
Alabama,2,1,1,0,0,0,0,1,0
Alaska,29,11,1,0,0,10,9,7,2
Arizona,321,211,157,12,9,33,40,58,12
Arkansas,166,108,55,4,6,43,28,25,5
California,1879,1304,899,38,52,315,261,227,87
Colorado,160,92,61,3,5,23,29,22,17
Connecticut,146,112,50,27,1,34,17,14,3
Delaware,57,41,25,1,2,13,5,8,3
Georgia,541,390,344,10,12,24,57,85,9
Hawaii,13,3,3,0,0,0,2,4,4
Idaho,26,17,12,1,2,2,3,4,2
Illinois,509,439,429,4,2,4,39,19,12
Indiana,275,205,128,9,7,61,20,37,13
Iowa,44,25,13,3,1,8,1,12,6
Kansas,84,50,36,1,1,12,12,13,9
Kentucky,192,122,101,4,8,9,28,29,13
Louisiana,455,370,341,9,8,12,35,27,23
Maine,25,14,6,1,0,7,7,1,3
Maryland,365,277,265,5,2,5,45,28,15
Massachusetts,121,70,32,0,1,37,33,12,6
Michigan,682,536,309,36,19,172,48,61,37
Minnesota,89,41,37,2,2,0,21,16,11
Mississippi,174,132,99,7,5,21,13,21,8
Missouri,389,283,153,8,8,114,29,64,13
Montana,22,11,8,2,0,1,6,3,2
Nebraska,52,42,37,2,1,2,5,4,1
Nevada,116,70,41,1,2,26,17,23,6
New Hampshire,14,9,4,0,0,5,3,2,0
New Jersey,385,273,237,6,3,27,63,32,17
New Mexico,109,67,42,5,5,15,14,21,7
New York,682,407,358,11,6,32,126,126,23
North Carolina,470,309,208,12,30,59,43,77,41
North Dakota,16,4,1,0,1,2,2,8,2
Ohio,410,278,176,5,8,89,34,74,24
Oklahoma,212,149,121,10,10,8,24,18,21
Oregon,81,42,11,2,3,26,17,20,2
Pennsylvania,684,522,412,9,10,91,68,74,20
Rhode Island,34,19,7,0,0,12,5,6,4
South Carolina,324,237,134,9,13,81,31,45,11
South Dakota,14,4,2,1,1,0,1,4,5
Tennessee,387,254,183,7,6,58,37,73,23
Texas,1141,745,493,28,41,183,173,122,101
Utah,49,29,22,2,1,4,10,6,4
Vermont,8,2,2,0,0,0,2,3,1
Virginia,314,220,103,9,2,106,37,38,19
Washington,194,106,71,4,3,28,43,33,12
West Virginia,66,47,26,5,2,14,7,7,5
Wisconsin,169,108,85,5,1,17,30,21,10
Wyoming,14,5,2,0,0,3,3,2,4
Guam,2,0,0,0,0,0,0,2,0
Virgin Islands,52,42,28,2,1,11,6,4,0
Total,12765,8855,6371,322,303,1859,1589,1643,678
,,,,,,,,,
,,,,,,,,,
,, ,,,,, ,, 
, ,,,,,,,,
,, ,, ,,,,,
