Bias motivation,Incidents,Offenses,Victims1,"Known
offenders2"
Total,6628,7699,8208,6008
Single-Bias Incidents,6624,7690,8199,6001
Race:,3135,3725,3949,2934
Anti-White,575,679,697,649
Anti-Black,2201,2600,2765,1974
Anti-American Indian/Alaskan Native,44,45,47,43
Anti-Asian/Pacific Islander,150,190,203,156
"Anti-Multiple Races, Group",165,211,237,112
Religion:,1322,1409,1552,606
Anti-Jewish,887,922,1040,346
Anti-Catholic,58,61,65,22
Anti-Protestant,41,46,47,6
Anti-Islamic,160,186,197,125
Anti-Other Religion,123,134,141,72
"Anti-Multiple Religions, Group",48,53,55,30
Anti-Atheism/Agnosticism/etc.,5,7,7,5
Sexual Orientation:,1277,1470,1528,1516
Anti-Male Homosexual,739,851,876,904
Anti-Female Homosexual,144,167,181,152
Anti-Homosexual,347,403,420,412
Anti-Heterosexual,21,21,22,21
Anti-Bisexual,26,28,29,27
Ethnicity/National Origin:,847,1040,1122,887
Anti-Hispanic,534,681,747,593
Anti-Other Ethnicity/National Origin,313,359,375,294
Disability:,43,46,48,58
Anti-Physical,19,22,24,28
Anti-Mental,24,24,24,30
Multiple-Bias Incidents3,4,9,9,7
